repo_name,file_count,avg_size,max_size,avg_depth,max_depth,comment_density,import_freq,function_freq,py_ratio,js_ratio,java_ratio,dominant_ratio,main_language,complexity_score,readability_score,modularity_score,tech_focus_score,complexity_rank,readability_rank,modularity_rank
staltz/mvi-example,1,483229,483229,3,3,0.0013244293054816888,0,1842,0,1,0,1,JavaScript,2.0794415416798357,0.13244293054816889,1842,1,105799,112677,4
arangodb-foxx/demo-aye-aye,1,379161,379161,2,2,0.0062005322277343929,0,979,0,1,0,1,JavaScript,1.3862943611198906,0.62005322277343933,979,1,116181,41419,29
zalando/zalando.github.io,3,290333,869838,1.3333333333333333,2,0.00010118198960585017,0,1826,0,0.33333333333333331,0,0.33333333333333331,,1.8483924814931874,0.010118198960585016,608.66666666666663,0.33333333333333331,109351,131195,53
Project-OSRM/osrm.js,1,82354,82354,2,2,0.00020642591738106225,0,492,0,1,0,1,JavaScript,1.3862943611198906,0.020642591738106224,492,1,116181,129753,116
muan/github-gmail,2,84245,84245,3,3,0.00016618196925633567,0,568,0,1,0,1,JavaScript,3.2958368660043291,0.016618196925633568,284,1,82719,130432,174
hanzichi/underscore-analysis,1,93012,93012,2,2,0.015091108896215084,0,232,0,1,0,1,JavaScript,1.3862943611198906,1.5091108896215084,232,1,116181,9314,212
ihanyang/cnode-vue,5,187039.6,763368,2.4,3,0.0018145919773595574,2.4,519.4,0,0.2,0,0.2,Vue,4.3002227261473314,0.18145919773595573,103.88,0.2,71365,103713,519
pubnub/eon-map,2,57259,112659,3,4,0.0016900816160938777,0,200,0,0.5,0,0.5,JavaScript,3.2958368660043291,0.16900816160938778,100,0.5,82719,106048,534
abehaskins/FiltrES.js,2,64027,126952,1.5,2,0.00085859222383262966,0,147,0,0.5,0,0.5,JavaScript,1.6479184330021646,0.085859222383262962,73.5,0.5,111151,120494,671
vincurekf/plaer,4,36550.5,125539,2.25,4,6.5630224239675013e-05,0,289.5,0,0.5,0,0.5,HTML,3.6212353029767255,0.0065630224239675017,72.375,0.5,79578,131644,689
padurean/scalatic,3,32738.333333333336,97163,4.3333333333333339,6,0.00041603178527293118,0,206,0,0.33333333333333331,0,0.33333333333333331,CSS,6.00727556485286,0.041603178527293116,68.666666666666671,0.33333333333333331,54983,127113,725
opentape/opentape,4,29675,80351,2,2,0.0031025801931096626,0,186.25,0,0.5,0,0.5,PHP,3.2188758248682006,0.31025801931096625,46.5625,0.5,87540,80173,1097
micmro/performance-bookmarklet,2,22028.5,42847,1.5,2,0.0022034388358963962,0,82,0,0.5,0,0.5,JavaScript,1.6479184330021646,0.22034388358963963,41,0.5,111151,96307,1253
unirgy/convertm1m2,1,25701,25701,1,1,0.0032683553169137389,1,41,0,0,0,0,PHP,0.69314718055994529,0.32683553169137392,41,0,130218,77445,1253
przemyslawpluta/mongo-edu,1,14270,14270,2,2,0.00042046250875963558,0,41,0,1,0,1,JavaScript,1.3862943611198906,0.042046250875963559,41,1,116181,127041,1253
jonasundderwolf/django-image-cropping,4,25338.25,92629,3.25,4,0.0010703202293809292,4,151,0.5,0.25,0,0.5,,5.2306732154108255,0.10703202293809293,37.75,0.5,61204,116930,1354
